iter	Passed	Remaining
918	30915	2724
919	30948	2691
920	30982	2657
921	31016	2623
922	31052	2590
923	31086	2556
924	31118	2523
925	31150	2489
926	31185	2455
927	31220	2422
928	31254	2388
929	31288	2355
930	31325	2321
931	31357	2287
932	31392	2254
933	31429	2220
934	31464	2187
935	31510	2154
936	31554	2121
937	31612	2089
938	31658	2056
939	31720	2024
940	31762	1991
941	31810	1958
942	31846	1924
943	31882	1891
944	31917	1857
945	31954	1824
946	31993	1790
947	32026	1756
948	32061	1722
949	32093	1689
950	32125	1655
951	32158	1621
952	32193	1587
953	32228	1553
954	32265	1520
955	32305	1486
956	32339	1453
957	32373	1419
958	32405	1385
959	32437	1351
960	32470	1317
961	32504	1283
962	32539	1250
963	32572	1216
964	32607	1182
965	32640	1148
966	32672	1114
967	32704	1081
968	32736	1047
969	32770	1013
970	32806	979
971	32841	946
972	32875	912
973	32908	878
974	32941	844
975	32978	810
976	33013	777
977	33049	743
978	33083	709
979	33125	676
980	33170	642
981	33210	608
982	33252	575
983	33296	541
