ilan_no,mahalle,ilce,il,fiyat,brut_m2,net_m2,oda_sayisi,banyo_sayisi,kat_sayisi,bulundugu_kat,bina_yasi,isinma,esya_durumu,kullanim_durumu,tapu_durumu,cephe,aidat,url
94193-332,Şahindere,Edremit,Balıkesir,10.300.000 TL,160,140,3 + 1,2,3 Katlı,,Sıfır Bina,Yerden Isıtma,Eşyalı Değil,Boş,Kat İrtifakı,Güney,,https://www.hepsiemlak.com/balikesir-edremit-sahindere-satilik/villa/94193-332
94193-354,Akçay,Edremit,Balıkesir,4.250.000 TL,55,44,1 + 1,1,3 Katlı,2. Kat,Sıfır Bina,Kombi,Eşyalı Değil,Boş,Kat İrtifakı,Güney,,https://www.hepsiemlak.com/balikesir-edremit-akcay-satilik/daire/94193-354
54895-930,Maden,Adalar,İstanbul,39.000.000 TL,739,177,4 + 2,3,2 Katlı,,57 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/istanbul-adalar-maden-satilik/mustakil-ev/54895-930
54895-1196,Nizam,Adalar,İstanbul,48.000.000 TL,582,476,10 + 3,8,3 Katlı,,56 Yaşında,Kombi,Eşyalı Değil,Boş,Müstakil Tapulu,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/istanbul-adalar-nizam-satilik/mustakil-ev/54895-1196
165223-131,Ardıçlı,Esenyurt,İstanbul,2.950.000 TL,100,95,2 + 1,1,5 Katlı,1. Kat,1 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Doğu, Batı",,https://www.hepsiemlak.com/istanbul-esenyurt-ardicli-satilik/daire/165223-131
54671-3122,Osman Temiz,Çankaya,Ankara,6.799.990 TL,155,140,4 + 1,1,3 Katlı,2. Kat,25 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Doğu, Batı",250 TL,https://www.hepsiemlak.com/ankara-cankaya-osman-temiz-satilik/daire/54671-3122
1100-13169,Göztepe,Kadıköy,İstanbul,12.950.000 TL,100,80,2 + 1,2,11 Katlı,Giriş Katı,26 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,,,https://www.hepsiemlak.com/istanbul-kadikoy-goztepe-satilik/daire/1100-13169
1100-13181,Göztepe,Kadıköy,İstanbul,27.950.000 TL,120,96,3 + 1,2,9 Katlı,6. Kat,1 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Kat Mülkiyeti,"Güney, Batı",,https://www.hepsiemlak.com/istanbul-kadikoy-goztepe-satilik/daire/1100-13181
1100-13164,Suadiye,Kadıköy,İstanbul,22.950.000 TL,130,100,3 + 1,2,10 Katlı,3. Kat,9 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",,https://www.hepsiemlak.com/istanbul-kadikoy-suadiye-satilik/daire/1100-13164
1100-13176,Bostancı,Kadıköy,İstanbul,10.950.000 TL,130,100,3 + 1,1,5 Katlı,5. Kat,40 Yaşında,Kombi,,Boş,Kat Mülkiyeti,"Güney, Doğu, Batı",,https://www.hepsiemlak.com/istanbul-kadikoy-bostanci-satilik/daire/1100-13176
