ilan_no,mahalle,ilce,il,fiyat,brut_m2,net_m2,oda_sayisi,banyo_sayisi,kat_sayisi,bulundugu_kat,bina_yasi,isinma,esya_durumu,kullanim_durumu,tapu_durumu,cephe,aidat,url
168837-10,Firuzköy,Avcılar,İstanbul,2.980.000 TL,41,27,1 + 0,1,8 Katlı,3. Kat,5 Yaşında,Merkezi (Pay Öl...,Eşyalı Değil,Kiracılı,Kat Mülkiyeti,"Güney, Doğu",4.153 TL,https://www.hepsiemlak.com/istanbul-avcilar-firuzkoy-satilik/daire/168837-10
124094-3023,75. Yıl,Sultangazi,İstanbul,2.899.000 TL,85,75,2 + 1,1,4 Katlı,Bahçe Katı,6 Yaşında,Kombi,Eşyalı Değil,Boş,Kat İrtifakı,Güney,,https://www.hepsiemlak.com/istanbul-sultangazi-75-yil-satilik/daire/124094-3023
141843-129,Abdurrahman Nafiz Gürman,Güngören,İstanbul,3.750.000 TL,65,60,2 + 1,,8 Katlı,4. Kat,40 Yaşında,Kombi,Eşyalı Değil,Kiracılı,Arsa,,,https://www.hepsiemlak.com/istanbul-gungoren-abdurrahman-nafiz-gurman-satilik/daire/141843-129
167955-34,Yeşilkent,Esenyurt,İstanbul,5.300.000 TL,222,200,4 + 2,2,22 Katlı,Zemin,11 Yaşında,Kombi,Eşyalı Değil,Kiracılı,Kat İrtifakı,,4.000 TL,https://www.hepsiemlak.com/istanbul-esenyurt-yesilkent-satilik/daire/167955-34
167955-8,Pınartepe,Büyükçekmece,İstanbul,5.500.000 TL,110,90,2 + 1,1,11 Katlı,6. Kat,11 Yaşında,Merkezi (Pay Öl...,Eşyalı Değil,Boş,Yabancıdan,,3.200 TL,https://www.hepsiemlak.com/istanbul-buyukcekmece-pinartepe-satilik/daire/167955-8
167955-1,Gürpınar,Beylikdüzü,İstanbul,9.000.000 TL,160,150,3 + 1,2,5 Katlı,2. Kat,6 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Yabancıdan,"Kuzey, Doğu",,https://www.hepsiemlak.com/istanbul-beylikduzu-gurpinar-satilik/daire/167955-1
126282-125,Mustafa Kemal Paşa,Avcılar,İstanbul,3.900.000 TL,90,85,2 + 1,1,5 Katlı,Bahçe Katı,13 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,,,https://www.hepsiemlak.com/istanbul-avcilar-mustafa-kemal-pasa-satilik/daire/126282-125
169857-59,Barış,Beylikdüzü,İstanbul,7.000.000 TL,150,125,3 + 1,2,14 Katlı,3. Kat,16 Yaşında,Kombi,Eşyalı Değil,Kiracılı,Kat Mülkiyeti,"Güney, Batı",,https://www.hepsiemlak.com/istanbul-beylikduzu-baris-satilik/daire/169857-59
13677-1887,Kartaltepe,Bakırköy,İstanbul,6.750.000 TL,75,65,2 + 1,1,5 Katlı,Giriş Katı,26 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Doğu, Batı",,https://www.hepsiemlak.com/istanbul-bakirkoy-kartaltepe-satilik/daire/13677-1887
1075-6885,Yeşilköy,Bakırköy,İstanbul,38.500.000 TL,190,156,3 + 1,2,5 Katlı,Yüksek Giriş,7 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Kuzey, Doğu, Batı",3.850 TL,https://www.hepsiemlak.com/istanbul-bakirkoy-yesilkoy-satilik/daire/1075-6885
2501-2122,Fenerbahçe,Kadıköy,İstanbul,29.950.000 TL,130,100,3 + 1,2,9 Katlı,2. Kat,6 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,Güney,,https://www.hepsiemlak.com/istanbul-kadikoy-fenerbahce-satilik/daire/2501-2122
70445-1415,Atakent,Küçükçekmece,İstanbul,7.925.000 TL,103,85,2 + 1,1,19 Katlı,6. Kat,12 Yaşında,Kombi,Eşyalı Değil,,Yabancıdan,Güney,7.000 TL,https://www.hepsiemlak.com/istanbul-kucukcekmece-atakent-satilik/daire/70445-1415
158457-30,Hürriyet,Kartal,İstanbul,3.900.000 TL,80,70,2 + 1,1,5 Katlı,Giriş Katı,11 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Batı",500 TL,https://www.hepsiemlak.com/istanbul-kartal-hurriyet-satilik/daire/158457-30
158457-49,Kurtköy,Pendik,İstanbul,7.750.000 TL,120,100,3 + 1,1,8 Katlı,Bahçe Katı,11 Yaşında,Kombi,Eşyalı Değil,Boş,Kat Mülkiyeti,"Güney, Doğu",3.500 TL,https://www.hepsiemlak.com/istanbul-pendik-kurtkoy-satilik/daire/158457-49
165962-146,Altayçeşme,Maltepe,İstanbul,9.750.000 TL,115,96,3 + 1,1,4 Katlı,2. Kat,11 Yaşında,Kombi,Eşyalı Değil,Kiracılı,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",650 TL,https://www.hepsiemlak.com/istanbul-maltepe-altaycesme-satilik/daire/165962-146
169030-8,Akşemsettin,Eyüpsultan,İstanbul,6.150.000 TL,115,110,3 + 1,1,5 Katlı,5. Kat,21 Yaşında,Kombi,Eşyalı Değil,Mülk Sahibi,Yabancıdan,"Güney, Doğu",200 TL,https://www.hepsiemlak.com/istanbul-eyupsultan-aksemsettin-satilik/daire/169030-8
169030-31,Sakarya,Eyüpsultan,İstanbul,6.200.000 TL,115,105,2 + 1,1,5 Katlı,3. Kat,6 Yaşında,Kombi,Eşyalı Değil,Kiracılı,Kat Mülkiyeti,"Kuzey, Güney, Doğu, Batı",200 TL,https://www.hepsiemlak.com/istanbul-eyupsultan-sakarya-satilik/daire/169030-31
169030-5,Yeşilpınar,Eyüpsultan,İstanbul,3.850.000 TL,75,65,2 + 1,1,5 Katlı,Yarı Bodrum,21 Yaşında,Kombi,Eşyalı Değil,Kiracılı,Yabancıdan,"Güney, Doğu",500 TL,https://www.hepsiemlak.com/istanbul-eyupsultan-yesilpinar-satilik/daire/169030-5
